,x,y,z
0,-9.569,-5.44423,2
1,-2.90688,-5.29964,2
2,3.54892,-5.25858,2
3,8.99597,-5.02839,2
4,14.9992,-4.99592,2
5,14.8737,4.95371,2
6,9.13246,4.95338,2
7,3.48695,4.6832,2
8,-2.75469,4.80921,2
9,-9.63956,4.95016,2
10,-9.59015,14.7492,2
11,-2.80881,14.8145,2
12,3.44068,14.7521,2
13,9.02266,15.0301,2
14,14.9466,14.9433,2
15,14.9403,24.8137,2
16,8.8893,24.9162,2
17,3.37872,24.6938,2
18,-3.13277,24.7242,2
19,-9.65996,24.6274,2
20,-6.34774,29.5078,2
21,0.425747,29.5096,2
22,5.84925,29.5492,2
23,12.1066,29.5503,2
24,-6.33436,20.2171,2
25,0.454829,20.346,2
26,6.57725,20.2992,2
27,12.0643,20.331,2
28,-6.19316,10.3946,2
29,0.516796,10.4042,2
30,6.84552,10.461,2
31,12.1898,10.3813,2
32,12.3074,0.368179,2
33,6.49487,0.312161,2
34,0.301064,0.303239,2
35,-6.48813,0.174347,2
36,-6.04345,-10.8468,2
37,0.602969,-10.8293,2
38,6.916,-10.8996,2
39,12.6093,-10.7644,2
40,-8.15841,34.4452,8
41,-8.20178,37.5092,8
42,-8.16814,41.1964,8
43,-8.22494,44.5784,8
44,-8.11187,47.2012,8
45,-8.12315,50.5248,8
46,-8.21265,54.0691,8
47,-4.07076,53.8738,8
48,-4.00112,50.5957,8
49,-3.97059,47.4279,8
50,-3.96634,44.4742,8
51,-4.03328,41.3712,8
52,-4.0605,37.7359,8
53,-3.87354,34.1268,8
54,0.467339,44.5066,8
55,0.582502,41.1701,8
56,0.477064,37.7554,8
57,0.508202,34.1656,8
58,0.583517,53.9844,8
59,0.555688,50.771,8
60,0.541301,47.2396,8
61,-10.5531,58.2321,8
62,-7.09985,58.4239,8
63,-3.62547,58.332,8
64,0.520259,58.2134,8
65,5.30798,57.7926,8
66,8.62784,57.7154,8
