,x,y,z
0,3.45719,-5.1655,16
1,3.46091,4.76661,16
2,3.33711,14.8672,16
3,3.39115,24.8143,16
4,3.50834,34.9255,16
5,3.52415,44.8567,16
6,3.42898,54.9208,16
7,8.91012,54.9946,16
8,14.8926,54.9946,16
9,8.91012,44.939,16
10,14.829,44.939,16
11,9.03741,35.0106,16
12,14.8926,35.0106,16
13,8.91012,24.8913,16
14,14.8926,24.8277,16
15,9.03741,15.0266,16
16,14.829,15.0266,16
17,9.10105,4.90726,16
18,14.8926,4.9709,16
19,8.97377,-5.02112,16
20,15.0199,-5.02112,16
21,-3.05484,54.8037,16
22,-2.86391,44.8753,16
23,-2.92756,34.947,16
24,-3.05484,24.7004,16
25,-2.86391,14.772,16
26,-2.80027,4.84361,16
27,-2.9912,-5.27569,16
28,-9.54648,-5.33934,16
29,-9.67376,4.90726,16
30,-9.54648,14.7083,16
31,-9.61012,24.5731,16
32,-9.54648,34.947,16
33,-9.61012,44.939,16
34,-9.48283,54.8037,16
